pit_ks_stat,pit_ks_pvalue,pit_cvm_stat,pit_cvm_pvalue,pit_ad_stat,pit_ad_critvals,pit_ad_siglevels,pit_lb_stat_lag5,pit_lb_pvalue_lag5,pit_lb_stat_lag10,pit_lb_pvalue_lag10,pit_lb_stat_lag20,pit_lb_pvalue_lag20,pit_lb_input,crps_mean,empirical_coverage,window_start,window_end,window_len,window_step,window_mode
0.29044444444444445,2.750435260897858e-54,29.365421666648295,4.321588309430524e-09,42.538572534015884,"[0.56, 0.63, 0.751, 0.872, 1.034]","[15.0, 10.0, 5.0, 2.5, 1.0]",1967.5318422621103,0.0,2851.729800890654,0.0,3555.582462366139,0.0,z=Phi^{-1}(u),2.5502476021633402,0.8,0,720,720,720,non_overlapping
0.1495,1.637054306058629e-14,5.459539666665085,2.674702681559893e-10,24.404047689968934,"[0.56, 0.63, 0.751, 0.872, 1.034]","[15.0, 10.0, 5.0, 2.5, 1.0]",1985.7749039991952,0.0,3043.9100066388746,0.0,3941.516197263995,0.0,z=Phi^{-1}(u),1.8967244899389546,0.9069444444444444,720,1440,720,720,non_overlapping
0.06422222222222218,0.005028637636638007,0.6513862222216165,0.016705242489653993,25.254724955672827,"[0.56, 0.63, 0.751, 0.872, 1.034]","[15.0, 10.0, 5.0, 2.5, 1.0]",1893.332657713064,0.0,2725.6858143050995,0.0,3450.619351336451,0.0,z=Phi^{-1}(u),1.528297329638911,0.9430555555555555,1440,2160,720,720,non_overlapping
0.2178888888888889,1.7160292789253613e-30,14.232711555549484,7.700780013664144e-10,66.13238301284355,"[0.56, 0.63, 0.751, 0.872, 1.034]","[15.0, 10.0, 5.0, 2.5, 1.0]",2137.6280409242604,0.0,3633.8620126505275,0.0,4969.719546914481,0.0,z=Phi^{-1}(u),1.775498695068918,0.8916666666666667,2160,2880,720,720,non_overlapping
0.1687777777777778,2.1288798669565784e-18,4.992191999999862,4.678446519079671e-11,27.87759997371745,"[0.56, 0.63, 0.751, 0.872, 1.034]","[15.0, 10.0, 5.0, 2.5, 1.0]",1277.766882400276,4.187573210513271e-274,1489.178419523298,0.0,1593.5158081805275,0.0,z=Phi^{-1}(u),1.1608304848378908,0.9805555555555555,2880,3600,720,720,non_overlapping
0.12255555555555558,6.974577943468829e-10,2.4459537777776874,1.2456021128981476e-06,22.00142907797681,"[0.56, 0.63, 0.751, 0.872, 1.034]","[15.0, 10.0, 5.0, 2.5, 1.0]",1099.463403878708,1.7471483093077645e-235,1440.6293970558406,1.6733781719382076e-303,1596.3567444445048,0.0,z=Phi^{-1}(u),1.2072331030099817,0.9680555555555556,3600,4320,720,720,non_overlapping
0.16572222222222222,9.46629090930911e-18,4.476892222221916,4.189582014646476e-11,34.07758979717789,"[0.56, 0.63, 0.751, 0.872, 1.034]","[15.0, 10.0, 5.0, 2.5, 1.0]",1137.1175715853294,1.2238517914540232e-243,1350.3547224906931,5.178866058586811e-284,1510.2122969451502,2.564932132791647e-308,z=Phi^{-1}(u),1.3526891002959356,0.9527777777777777,4320,5040,720,720,non_overlapping
0.12188888888888888,8.836513241802574e-10,2.578821111108286,6.280538829006588e-07,65.9282667026282,"[0.56, 0.63, 0.751, 0.872, 1.034]","[15.0, 10.0, 5.0, 2.5, 1.0]",1693.5503274018863,0.0,2518.1573344815297,0.0,3169.4004417682813,0.0,z=Phi^{-1}(u),1.5375392754415436,0.8972222222222223,5040,5760,720,720,non_overlapping
0.10505555555555557,2.2566772799943106e-07,1.748162111109883,4.6492684970034226e-05,35.13798997259687,"[0.56, 0.63, 0.751, 0.872, 1.034]","[15.0, 10.0, 5.0, 2.5, 1.0]",1558.0835880907293,0.0,2187.131970845459,0.0,2643.8117812332584,0.0,z=Phi^{-1}(u),1.685372923834693,0.8958333333333334,5760,6480,720,720,non_overlapping
0.1096111111111111,5.4649502930747645e-08,2.008311333333199,1.1992707716013129e-05,13.307647467448646,"[0.56, 0.63, 0.751, 0.872, 1.034]","[15.0, 10.0, 5.0, 2.5, 1.0]",1864.8424249303528,0.0,3038.0522781234986,0.0,4833.203247718945,0.0,z=Phi^{-1}(u),1.522984564005092,0.9694444444444444,6480,7200,720,720,non_overlapping
0.16677777777777777,5.671348571493224e-18,6.6184684444372435,6.333555901960608e-11,74.10076178364989,"[0.56, 0.63, 0.751, 0.872, 1.034]","[15.0, 10.0, 5.0, 2.5, 1.0]",2259.836880444352,0.0,3745.0591097251754,0.0,5507.705033353015,0.0,z=Phi^{-1}(u),1.7330322343590019,0.875,7200,7920,720,720,non_overlapping
0.2714444444444444,2.344778644834115e-47,19.1736792221897,6.177798828055359e-09,26.334916839870175,"[0.56, 0.63, 0.751, 0.872, 1.034]","[15.0, 10.0, 5.0, 2.5, 1.0]",2508.0944751329534,0.0,4331.607615062174,0.0,6754.778066741082,0.0,z=Phi^{-1}(u),3.3098277174598385,0.5805555555555556,7920,8640,720,720,non_overlapping
