empirical_coverage,window_start,window_end,window_len,window_step,window_mode
0.96,0,50,50,10,overlapping
0.9,10,60,50,10,overlapping
0.92,20,70,50,10,overlapping
0.9,30,80,50,10,overlapping
0.86,40,90,50,10,overlapping
0.88,50,100,50,10,overlapping
0.94,60,110,50,10,overlapping
0.92,70,120,50,10,overlapping
0.92,80,130,50,10,overlapping
0.92,90,140,50,10,overlapping
0.92,100,150,50,10,overlapping
0.92,110,160,50,10,overlapping
0.94,120,170,50,10,overlapping
0.94,130,180,50,10,overlapping
0.96,140,190,50,10,overlapping
0.96,150,200,50,10,overlapping
0.92,160,210,50,10,overlapping
0.92,170,220,50,10,overlapping
0.92,180,230,50,10,overlapping
0.94,190,240,50,10,overlapping
0.92,200,250,50,10,overlapping
0.88,210,260,50,10,overlapping
0.88,220,270,50,10,overlapping
0.88,230,280,50,10,overlapping
0.88,240,290,50,10,overlapping
0.9,250,300,50,10,overlapping
0.94,260,310,50,10,overlapping
0.94,270,320,50,10,overlapping
0.96,280,330,50,10,overlapping
0.94,290,340,50,10,overlapping
0.94,300,350,50,10,overlapping
0.96,310,360,50,10,overlapping
